Uitdaging,Challenge,jQM,ST,Lungo,Kendo
\uit{anatomie},\chal{anatomie},0.67,1.00,0.33,0.33
\uit{toestel},\chal{toestel},0.33,0.67,0.33,1.00
\uit{laadscherm},\chal{laadscherm},1.00,1.00,1.00,1.00
\uit{formulieren},\chal{formulieren},0.64,0.57,0.43,1.00
\uit{vullen},\chal{vullen},0.00,1.00,0.00,1.00
\uit{autoaanvullen},\chal{autoaanvullen},0.67,0.17,0.33,0.67
\uit{afbeelding},\chal{afbeelding},0.33,0.67,0.33,0.33
\uit{validatie},\chal{validatie},0.38,0.75,0.00,0.75
\uit{handtekening},\chal{handtekening},0.50,0.50,0.00,0.50
\uit{ajax},\chal{ajax},2.00,2.00,1.50,2.00
\uit{lijsten},\chal{lijsten},0.00,1.00,0.33,0.67
\uit{pdf},\chal{pdf},0.25,0.50,0.25,0.25
\uit{offline},\chal{offline},0.25,1.00,0.75,0.25
Totaal,Total,0.51,0.76,0.39,0.75
