ST,Kendo,JQM,Lungo,ST Cache,Kendo Cache,jQM Cache,Lungo Cache
4.41,3.54,3.26,0.853,2.96,0.195,0.17,0.167
4.18,4.35,3.81,1.55,2.86,0.169,0.255,0.173
9.53,3.17,4.98,2.18,6.4,2.45,0.08,1.64
3.95,2.18,2.04,1.3,1.98,0.953,0.942,0.35
3.22,3.88,5.26,1.65,1.52,0.279,0.192,0.239
2.14,3.41,2.99,1.44,0.824,0.173,0.17,0.176
5.01,7.9,5.52,2.47,1.97,0.23,0.368,0.238
2.58,6.78,5.62,2.22,1.09,0.291,0.314,0.502
4.35,3.44,3.16,1.12,2.34,0.181,0.182,0.223
3.95,4.22,3.69,1.39,2.18,0.171,0.172,0.173
11.2,3.77,3.27,3.22,6.45,2.08,0.081,1.42
3.52,2.1,2.01,2.67,1.96,0.956,0.707,0.375
3.3,3.95,4.08,1.61,1.43,0.182,0.182,0.186
2.17,3.09,3.03,1.43,0.753,0.172,0.182,0.17
5.64,6.18,5.34,2.26,1.93,0.302,0.287,0.223
2.69,5.82,5.82,1.23,0.979,0.24,0.393,0.429
4.39,3.84,3.29,0.859,3.18,0.167,0.235,0.171
3.75,4.32,3.92,2,2.58,0.168,0.168,0.165
10.6,3.33,3.56,2.58,6.38,1.86,0.082,1.2
3.6,2.16,1.94,1.31,1.51,0.995,0.927,0.406
3.27,4.13,4.23,1.65,1.39,0.186,0.288,0.214
2.28,3.12,2.95,1.38,0.568,0.174,0.187,0.174
4.78,5.92,5.14,2.28,2.03,0.417,0.281,0.253
2.94,6.3,5.99,2.26,0.983,0.211,0.432,0.308
