Criterium,ST,Kendo,jQM,Lungo
Beheerder,Sencha,Telerik,jQuery Project,TapQuo
Eerste stabiele versie,2010,2011,2011,2011
Huidige stabiele versie,2.2.0,2013 Q1,1.3.1,2.1
Afhankelijke bibliotheken,/,jQuery,jQuery,QuoJS
Grootte JS,A,B,C,D
Grootte CSS,A,B,C,D
Type,JavaScript-gedreven,JavaScript- en opmaakgedreven,Opmaakgedreven,Opmaakgedreven
Architectuur,MVC,MVVM,/,/
Licentie,GNU GPL v3 \& commercieel,commercieel,MIT,MIT \& commercieel
Licentiekost,gratis,\$ 699,gratis,
Professionele ondersteuning,ja,ja,,
Kosten ondersteuning,\$ 299,\$ 699 (zit in licentiekost),,
Native look-and-feel,nee ,ja,nee,nee
Inpakken tot native applicatie,ja,nee,nee,nee
Tools gebruikersinterface,Sencha Architect,nee,Codiqa,nee
Tools voor thema,nee ,Mobile ThemeBuilder,ThemeRoller voor jQuery Mobile,
Tools voor minifien,Sencha Cmd,nee,nee,nee
